Timestamp,Days_Since_Start,Battery_Level,Battery_Health,Signal_Strength,Power_Consumption_Rate,Component_Health,CPU_GPU_Usage,Solar_Panel_Efficiency,Temperature,Data_Storage_Used,Debris_Risk_Level,Reroute power to core functions,Adjust orientation for passive cooling,"Recalibrate position, tweak pitch, roll, yaw",Initiate Docking sequence to ISS,Increase cooling system power,Adjust antenna position or switch frequency,Optimize data transmission,Delete unnecessary data,"Adjust pitch, yaw, roll for sunlight absorption",Disable non-essential systems,"Redistribute workload, reduce power to affected components",Recommended_Actions
2024-01-02 09:08:49.125884,1,9.77,43.32,23.58,14.56,96.57,57.61,12.59,-7.14,93.85,4.36,1,0,0,0,0,1,1,1,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-02 09:12:20.645174,1,68.42,65.02,89.47,4.07,67.92,33.92,98.65,84.08,64.04,3.63,0,1,0,0,1,0,0,0,0,0,0,"['Increase cooling system power', 'Adjust orientation for passive cooling']"
2024-01-02 09:12:40.518364,1,44.02,27.98,4.53,3.3,67.37,44.82,46.67,69.2,58.55,3.6,0,0,0,1,1,1,0,0,0,0,0,"['Initiate Docking sequence to ISS', 'Increase cooling system power', 'Adjust antenna position or switch frequency']"
2024-01-02 09:35:12.872216,1,12.2,93.76,20.18,46.49,70.12,68.11,21.86,13.13,40.66,2.52,1,0,0,0,0,1,0,0,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-02 09:35:23.658712,1,49.52,31.26,75.2,8.3,83.39,70.07,94.33,20.58,32.95,4.36,0,0,0,0,0,0,0,0,0,0,0,[]
2024-01-02 10:19:17.199997,1,3.44,37.99,70.94,51.22,80.08,2.76,46.86,-29.54,17.98,5.48,1,1,0,0,0,0,0,0,0,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust orientation for passive cooling']"
2024-01-02 11:04:52.807440,1,90.93,64.65,28.93,32.75,53.37,76.93,34.73,0.17,6.01,6.12,0,0,0,0,0,1,0,0,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-02 11:08:35.837840,1,25.88,81.13,6.2,33.56,43.83,49.35,21.38,4.72,63.45,2.2,1,0,0,1,0,1,0,0,1,0,0,"['Initiate Docking sequence to ISS', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-02 11:45:26.712724,1,66.25,69.55,85.81,63.56,96.96,55.67,26.79,24.33,77.92,7.28,0,0,0,0,0,0,0,0,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-02 12:18:06.052086,1,31.17,38.57,31.37,16.31,55.66,29.8,97.92,-13.31,85.78,0.27,1,0,0,0,0,0,1,1,0,0,0,"['Reroute power to core functions', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-02 12:40:04.622084,1,52.01,20.08,19.57,76.66,78.32,42.08,30.4,27.45,72.43,7.5,0,0,0,1,0,1,0,0,1,0,0,"['Initiate Docking sequence to ISS', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-02 13:22:12.344845,1,54.67,80.57,51.61,58.2,89.71,71.04,97.78,50.22,89.7,2.83,0,0,0,0,0,0,1,1,0,0,0,"['Optimize data transmission', 'Delete unnecessary data']"
2024-01-02 13:59:53.743899,1,18.49,98.82,91.02,91.49,58.02,77.67,33.02,14.55,98.28,3.7,1,0,0,0,0,0,1,1,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-02 14:01:12.754415,1,96.96,84.79,4.35,36.48,78.13,38.71,23.14,-2.14,96.17,5.81,0,0,0,0,0,1,1,1,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-02 14:31:33.035180,1,77.51,56.82,76.58,98.27,46.47,69.11,18.34,35.73,59.22,6.1,0,0,0,1,0,0,0,0,1,0,0,"['Initiate Docking sequence to ISS', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-02 15:00:45.236822,1,93.95,92.3,57.25,57.58,98.2,25.8,41.19,-26.52,22.42,4.21,0,1,0,0,0,0,0,0,0,0,0,['Adjust orientation for passive cooling']
2024-01-02 16:57:38.604253,1,89.48,52.79,42.54,97.34,43.49,83.2,23.68,10.9,10.64,9.38,0,0,1,1,0,0,0,0,1,0,0,"['Initiate Docking sequence to ISS', 'Adjust pitch, yaw, roll for sunlight absorption', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-02 17:08:33.809152,1,59.79,61.99,74.41,2.71,66.29,60.98,69.69,33.31,99.39,8.58,0,0,1,0,0,0,1,1,0,0,0,"['Optimize data transmission', 'Delete unnecessary data', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-02 17:56:42.336055,1,92.19,58.17,96.58,72.8,72.21,77.52,23.98,10.3,30.84,2.25,0,0,0,0,0,0,0,0,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-02 18:48:33.776887,1,8.85,55.81,22.92,81.66,87.43,47.72,83.54,11.45,3.4,5.89,1,0,0,0,0,1,0,0,0,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust antenna position or switch frequency']"
2024-01-02 19:48:13.701217,1,19.6,82.02,14.36,5.32,47.27,22.91,83.4,71.8,39.1,7.21,1,0,0,1,1,1,0,0,0,1,0,"['Initiate Docking sequence to ISS', 'Disable non-essential systems', 'Reroute power to core functions', 'Increase cooling system power', 'Adjust antenna position or switch frequency']"
2024-01-02 20:00:56.662246,1,4.52,62.14,91.29,57.9,66.45,42.92,28.55,82.08,74.81,2.17,1,1,0,0,1,0,0,0,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Increase cooling system power', 'Adjust orientation for passive cooling', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-02 20:45:15.277588,1,32.53,45.34,66.9,80.19,57.98,38.15,75.35,69.29,89.08,0.18,1,0,0,0,1,0,1,1,0,0,0,"['Reroute power to core functions', 'Increase cooling system power', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-02 21:13:14.230084,1,38.87,40.65,43.8,56.1,58.72,33.27,85.75,-18.14,47.76,9.76,1,0,1,0,0,0,0,0,0,0,0,"['Reroute power to core functions', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-02 21:38:27.149630,1,27.13,23.02,57.33,6.38,86.73,21.22,59.01,4.77,29.4,9.58,1,0,1,1,0,0,0,0,0,0,0,"['Initiate Docking sequence to ISS', 'Reroute power to core functions', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-02 22:06:12.215690,1,82.87,66.66,74.56,69.34,40.33,75.92,36.63,55.36,77.84,3.2,0,0,0,1,0,0,0,0,1,0,0,"['Initiate Docking sequence to ISS', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-02 23:55:38.594563,1,35.68,38.4,77.3,6.06,84.95,8.64,44.1,86.93,50.38,2.39,1,1,0,0,1,0,0,0,0,0,0,"['Reroute power to core functions', 'Increase cooling system power', 'Adjust orientation for passive cooling']"
2024-01-03 00:28:24.633033,2,28.09,31.85,91.99,81.75,88.62,88.76,78.62,-0.93,8.6,1.55,1,0,0,0,0,0,0,0,0,0,0,['Reroute power to core functions']
2024-01-03 00:38:20.986804,2,54.27,72.31,42.68,4.3,94.08,17.5,29.33,77.79,88.77,6.87,0,0,0,0,1,0,1,1,1,0,0,"['Increase cooling system power', 'Adjust pitch, yaw, roll for sunlight absorption', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-03 01:49:31.498247,2,14.09,74.5,29.34,13.74,77.61,97.99,33.45,58.68,65.58,7.55,1,0,0,0,0,1,0,0,1,1,1,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency', 'Redistribute workload, reduce power to affected components']"
2024-01-03 01:55:29.352233,2,80.22,80.17,63.97,27.51,60.01,98.85,16.08,88.01,3.68,4.2,0,1,0,0,1,0,0,0,1,0,1,"['Increase cooling system power', 'Adjust orientation for passive cooling', 'Adjust pitch, yaw, roll for sunlight absorption', 'Redistribute workload, reduce power to affected components']"
2024-01-03 02:05:12.877600,2,7.46,60.29,41.57,63.34,65.63,39.84,39.91,-18.77,0.91,2.43,1,0,0,0,0,0,0,0,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-03 02:32:10.557707,2,98.69,91.52,59.46,97.64,98.18,98.78,8.65,17.37,8.77,4.49,0,0,0,0,0,0,0,0,1,0,1,"['Adjust pitch, yaw, roll for sunlight absorption', 'Redistribute workload, reduce power to affected components']"
2024-01-03 03:20:44.401808,2,77.22,94.91,42.0,11.78,92.87,86.91,32.1,27.37,82.2,5.16,0,0,0,0,0,0,0,0,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-03 03:54:55.760528,2,19.87,84.59,15.3,14.27,67.81,8.24,37.35,50.65,48.13,5.43,1,0,0,0,0,1,0,0,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-03 06:42:28.013016,2,0.55,70.85,46.94,36.89,96.58,94.73,25.55,48.48,33.53,4.43,1,0,0,0,0,0,0,0,1,1,1,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Redistribute workload, reduce power to affected components']"
2024-01-03 08:48:57.460538,2,81.55,44.3,69.09,83.62,89.38,4.25,10.14,78.76,24.93,0.04,0,0,0,0,1,0,0,0,1,0,0,"['Increase cooling system power', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-03 08:50:59.662141,2,70.69,98.64,79.93,46.72,94.07,18.19,52.17,70.64,50.69,4.72,0,0,0,0,1,0,0,0,0,0,0,['Increase cooling system power']
2024-01-03 10:29:43.027260,2,72.9,41.93,49.33,32.16,80.98,58.46,86.51,-23.36,8.3,3.47,0,1,0,0,0,0,0,0,0,0,0,['Adjust orientation for passive cooling']
2024-01-03 10:43:07.215446,2,77.13,36.21,16.52,56.12,91.46,8.07,33.56,28.38,61.72,5.57,0,0,0,0,0,1,0,0,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-03 15:30:42.637711,2,7.4,55.37,41.47,26.05,93.51,16.17,23.68,18.85,38.05,0.69,1,0,0,0,0,0,0,0,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-03 16:34:04.231930,2,35.85,24.55,78.63,40.12,45.52,95.35,28.5,89.66,85.84,8.79,1,1,1,1,1,0,1,1,1,0,1,"['Initiate Docking sequence to ISS', 'Reroute power to core functions', 'Increase cooling system power', 'Adjust orientation for passive cooling', 'Adjust pitch, yaw, roll for sunlight absorption', 'Optimize data transmission', 'Delete unnecessary data', 'Redistribute workload, reduce power to affected components', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-03 19:50:06.858883,2,11.59,98.28,41.29,33.26,97.91,99.47,86.19,21.27,75.44,8.75,1,0,1,0,0,0,0,0,0,1,1,"['Disable non-essential systems', 'Reroute power to core functions', 'Redistribute workload, reduce power to affected components', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-03 20:22:55.437290,2,86.31,67.07,69.65,80.41,60.02,79.81,52.78,51.91,1.84,5.64,0,0,0,0,0,0,0,0,0,0,0,[]
2024-01-03 23:19:17.836044,2,62.33,64.56,50.72,92.43,66.39,51.52,13.08,4.13,16.65,7.37,0,0,0,0,0,0,0,0,1,0,0,"['Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-03 23:37:58.279813,2,33.09,72.46,24.12,75.96,87.51,90.03,70.92,43.76,47.4,4.38,1,0,0,0,0,1,0,0,0,0,1,"['Reroute power to core functions', 'Adjust antenna position or switch frequency', 'Redistribute workload, reduce power to affected components']"
2024-01-04 00:03:26.458866,3,6.36,59.76,79.62,43.91,79.89,11.19,15.44,-5.2,65.87,5.9,1,0,0,0,0,0,0,0,1,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-04 01:10:20.416287,3,31.1,22.57,8.42,50.43,93.58,94.29,6.02,42.43,71.51,6.18,1,0,0,1,0,1,0,0,1,0,1,"['Initiate Docking sequence to ISS', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency', 'Redistribute workload, reduce power to affected components']"
2024-01-04 02:11:09.286909,3,32.52,68.98,52.49,12.51,64.03,35.16,25.57,74.18,81.62,3.54,1,0,0,0,1,0,0,0,1,0,0,"['Reroute power to core functions', 'Increase cooling system power', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-04 02:22:36.884015,3,72.96,77.29,20.89,74.69,62.4,86.15,16.81,-27.69,4.92,9.61,0,1,1,0,0,1,0,0,1,0,0,"['Adjust orientation for passive cooling', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-04 02:28:07.624588,3,63.76,53.34,6.71,59.65,41.9,66.84,60.5,30.55,1.85,6.03,0,0,0,1,0,1,0,0,0,0,0,"['Initiate Docking sequence to ISS', 'Adjust antenna position or switch frequency']"
2024-01-04 02:57:38.542864,3,88.72,80.58,50.29,90.24,67.76,96.03,48.46,87.88,60.05,9.91,0,1,1,0,1,0,0,0,0,0,1,"['Increase cooling system power', 'Adjust orientation for passive cooling', 'Redistribute workload, reduce power to affected components', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-04 04:53:33.563642,3,47.22,38.16,49.96,20.06,83.44,86.47,72.41,-10.89,72.38,4.32,0,0,0,0,0,0,0,0,0,0,0,[]
2024-01-04 04:56:18.239968,3,11.96,37.7,70.69,75.97,58.07,88.79,51.16,-7.99,78.67,0.32,1,0,0,0,0,0,0,0,0,1,0,"['Disable non-essential systems', 'Reroute power to core functions']"
2024-01-04 06:35:24.705903,3,71.32,32.91,74.48,68.47,67.76,63.18,41.9,26.5,15.57,3.02,0,0,0,0,0,0,0,0,0,0,0,[]
2024-01-04 07:37:11.911715,3,76.08,49.76,72.78,26.58,53.16,83.32,52.62,74.52,96.87,6.51,0,0,0,0,1,0,1,1,0,0,0,"['Increase cooling system power', 'Optimize data transmission', 'Delete unnecessary data']"
2024-01-04 07:46:26.508817,3,56.13,87.76,40.96,66.74,86.37,75.71,43.45,37.53,22.94,9.1,0,0,1,0,0,0,0,0,0,0,0,"['Recalibrate position, tweak pitch, roll, yaw']"
2024-01-04 08:41:25.419342,3,77.1,86.23,63.17,92.44,43.63,16.16,3.71,31.05,25.03,6.15,0,0,0,1,0,0,0,0,1,0,0,"['Initiate Docking sequence to ISS', 'Adjust pitch, yaw, roll for sunlight absorption']"
2024-01-04 11:44:59.029412,3,49.38,50.63,57.69,91.84,82.32,64.86,68.07,-19.59,15.43,4.72,0,0,0,0,0,0,0,0,0,0,0,[]
2024-01-04 11:47:14.938384,3,52.27,67.13,42.16,71.96,62.74,14.82,96.21,85.44,4.32,0.81,0,1,0,0,1,0,0,0,0,0,0,"['Increase cooling system power', 'Adjust orientation for passive cooling']"
2024-01-04 13:28:17.398612,3,42.75,77.67,59.72,4.81,42.5,86.95,42.2,11.65,80.97,1.45,0,0,0,1,0,0,0,0,0,0,0,['Initiate Docking sequence to ISS']
2024-01-04 13:42:02.201821,3,2.54,39.3,94.72,87.23,91.21,6.59,42.37,0.22,0.56,0.53,1,0,0,0,0,0,0,0,0,1,0,"['Disable non-essential systems', 'Reroute power to core functions']"
2024-01-04 13:47:58.008872,3,10.79,33.45,19.29,65.78,69.26,98.7,4.58,19.41,46.38,7.11,1,0,0,0,0,1,0,0,1,1,1,"['Disable non-essential systems', 'Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency', 'Redistribute workload, reduce power to affected components']"
2024-01-04 14:16:22.572854,3,3.14,97.77,90.58,31.04,75.96,40.06,89.04,19.7,9.2,8.31,1,0,1,0,0,0,0,0,0,1,0,"['Disable non-essential systems', 'Reroute power to core functions', 'Recalibrate position, tweak pitch, roll, yaw']"
2024-01-04 14:26:10.160716,3,63.64,69.4,5.35,18.73,83.92,17.06,92.91,25.02,4.48,1.64,0,0,0,0,0,1,0,0,0,0,0,['Adjust antenna position or switch frequency']
2024-01-04 16:54:55.313048,3,31.44,98.51,30.84,11.62,79.3,93.57,81.31,52.62,93.47,3.25,1,0,0,0,0,0,1,1,0,0,1,"['Reroute power to core functions', 'Optimize data transmission', 'Delete unnecessary data', 'Redistribute workload, reduce power to affected components']"
2024-01-04 17:20:04.628977,3,50.86,47.02,28.81,5.02,83.85,4.54,10.63,74.15,82.54,4.79,0,0,0,0,1,1,0,0,1,0,0,"['Increase cooling system power', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
2024-01-04 18:04:06.108036,3,90.76,76.24,62.64,75.41,85.74,47.01,90.02,-23.12,39.49,1.43,0,1,0,0,0,0,0,0,0,0,0,['Adjust orientation for passive cooling']
2024-01-04 19:02:29.277170,3,24.93,37.81,13.12,23.58,75.35,77.02,2.4,28.89,45.86,4.16,1,0,0,0,0,1,0,0,1,0,0,"['Reroute power to core functions', 'Adjust pitch, yaw, roll for sunlight absorption', 'Adjust antenna position or switch frequency']"
